resource_id,url,category,description,in_sources_md,sources_md_id,supporting_claims,claim_count,ingestion_batch
RES-0261,https://www.torontoauditor.ca/report/audit-of-toronto-shelter-and-support-services-warming-centres-and-winter-respite-sites-understanding-and-addressing-demand-while-improving-financial-accountability-to-stretch-dollars-furthe/,Toronto Auditor General,Toronto Auditor General,no,,CL-097,1,project-history
RES-0262,https://www.torontoauditor.ca/report/city-of-torontos-modular-housing-initiative-the-need-to-balance-fast-delivery-with-stronger-management-of-contracts-and-costs/,Toronto Auditor General,Toronto Auditor General June 2023 audit City of Torontos Modular Housing Initiative,no,,CL-341,1,project-history
RES-0263,https://www.torontoauditor.ca/report/opening-doors-to-stable-housing-an-effective-waiting-list-and-reduced-vacancy-rates-will-help-more-people-access-housing/,Toronto Auditor General,Toronto Auditor General,no,,CL-036,1,project-history
RES-0264,https://www.torontoauditor.ca/report/part-1-of-the-audit-of-emergency-shelters-a-focus-on-case-management/,Toronto Auditor General,Toronto Auditor General Part 1 of the Audit of Emergency Shelters: A Focus on Case Management 2022,no,,CL-227;CL-228;CL-763,3,project-history
RES-0265,https://www.torontoauditor.ca/report/part-2-of-the-audit-of-emergency-shelters-lessons-learned-from-hotel-operations/,Toronto Auditor General,"Toronto Auditor General — Part 2 of the Audit of Emergency Shelters: Lessons Learned from Hotel Operations (May 20, 2022)",yes,N-028,CL-433,1,project-history
RES-0266,https://www.torontoauditor.ca/reports/type/audit-reports/?auditee=shelter-support-and-housing-administration,Toronto Auditor General,Toronto AG 2022 — Hotel Operations (Emergency Shelters Part 2),yes,A-002,,0,project-history
RES-0267,https://www.torontofinancialdistrict.com/s/D6-BIAs-Letter-Encampment-Approach-and-Strategy-EC138-May-29-2024.pdf,Other (www.torontofinancialdistrict.com),D6 BIAs letter to Councillor Bravo ECDC May 28 2024 obtained via Toronto Financial District BIA publ,no,,CL-365,1,project-history
RES-0268,https://www.torontofinancialdistrict.com/s/Letter-to-Federal-Government-on-IHAP-Program-Expansion-from-Downtown-Toronto-BIA-Alliance-2025-08-26.pdf,Other (www.torontofinancialdistrict.com),Downtown Toronto BIA Alliance letter to PM Carney August 26 2025 obtained via Toronto Financial Dist,no,,CL-364,1,project-history
RES-0269,https://www.torontohousing.ca,Other (www.torontohousing.ca),TCHC 2024 annual data,no,,CL-016,1,project-history
RES-0270,https://www.torontotoday.ca/local/city-hall/city-workers-strike-rally-cupe79-deadline-10338349,News (other outlet),TorontoToday March 7 2025,no,,CL-336,1,project-history
RES-0271,https://www.torontotoday.ca/local/city-hall/thousands-of-beds-not-made-available-at-city-warming-shelters-audit-finds-10227091,News (other outlet),TorontoToday.ca February 14 2025 reporting on Audit Committee meeting,no,,CL-324,1,project-history
RES-0272,https://www.torontotoday.ca/local/city-hall/toronto-eliminated-nearly-all-encampments-near-schools-playgrounds-11746394,News (other outlet),TorontoToday Jan 2026 citing TSSS General Manager Gord Tanner,no,,CL-105,1,project-history
RES-0273,https://www.torontotoday.ca/local/crime-emergency-services/several-toronto-warming-centres-full-capacity-as-advocates-allege-people-being-turned-away-11786211,News (other outlet),TorontoToday — Warming Centre Capacity Dispute (January 2026),yes,R-002,CL-414;CL-629,2,project-history
RES-0274,https://www.torontotoday.ca/local/policy/ywca-toronto-workers-strike-labour-negotiations-stall-shelter-10605426,News (other outlet),TorontoToday May 2025 reporting on CUPE Local 2189 labour dispute,no,,CL-332,1,project-history
RES-0275,https://www.tps.ca/mental-health/,Other (www.tps.ca),Toronto Police Service Mental Health page,no,,CL-116,1,project-history
RES-0276,https://www.ttc.ca/riding-the-ttc/safety-and-security/TTC-Community-Safety-Plan,TTC,TTC Community Safety Plan (official page),yes,T-003,CL-394,1,project-history
RES-0277,https://www.varke.fi/en/statistics/homelessness/homeless-people-2024,Other (www.varke.fi),Finland ARA/Varke — Homeless People 2024,yes,H-005,CL-135,1,project-history
RES-0278,https://www.visaverge.com/news/canada-sends-procedural-fairness-letters-to-30000-asylum-seekers-under-bill-c-12/,Other (www.visaverge.com),IRCC notices reported April 10 2026 and visaverge.com analysis of Bill C-12,no,,CL-357,1,project-history
RES-0279,https://www.ziprecruiter.com/Jobs/Shelter-Security/--in-Ontario,Other (www.ziprecruiter.com),Real Toronto-area job postings via ZipRecruiter and Glassdoor cross-referenced against named shelter,no,,CL-404,1,project-history
RES-0280,https://www150.statcan.gc.ca/n1/pub/75f0002m/75f0002m2023006-eng.htm,Government of Canada (primary govt),"Statistics Canada — A Profile of Workers in the Homelessness Support Sector, 2021",yes,P-001,CL-402;CL-405,2,project-history
RES-0281,https://www3.ohrc.on.ca/en/policy-human-rights-and-rental-housing/vii-social-housing,Other (www3.ohrc.on.ca),Ontario Human Rights Commission Policy on Human Rights and Rental Housing,no,,CL-313,1,project-history
RES-0282,https://open.toronto.ca/,Not yet ingested (govt),"Toronto Open Data Portal - raw shelter flow, TCHC waitlist, encampment resolution data; blocked by tooling for direct API access per TRACK_001_Master_Issues Gap #8",no,,,0,2026-07-batch-flagged
RES-0283,https://www.wellesleyinstitute.com/,Sector nonprofit/network,"wellesleyinstitute.com - RESOLVED July 2026, see CL-490",no,,CL-490,1,2026-07-batch-flagged
RES-0284,https://www.socialplanningtoronto.org/,Sector nonprofit/network,"Social Planning Toronto - RESOLVED July 2026, see CL-485/486/487",no,,CL-485;CL-486;CL-487,3,2026-07-batch-flagged
RES-0285,https://acto.ca/,Sector nonprofit/network,"ACTO - RESOLVED July 2026, see CL-488/489",no,,CL-488;CL-489,2,2026-07-batch-flagged
RES-0286,https://www.equalityrights.org/,Not yet ingested (legal),Centre for Equality Rights in Accommodation (CERA),no,,,0,2026-07-batch-flagged
RES-0288,https://www3.ohrc.on.ca/,Government of Ontario (primary govt),"OHRC - RESOLVED July 2026, led to major Waterloo ruling finding, see CL-493",no,,CL-493,1,2026-07-batch-flagged
RES-0291,https://www.cihi.ca/,Partially ingested (govt-adj),"CIHI - Patient Cost Estimator, ALC data, homelessness/hospital use reports - some CIHI-derived figures already in ledger via secondary citation, primary CIHI tool not yet directly queried",no,,,0,2026-07-batch-flagged
RES-0293,https://www.urban.org/policy-centers/metropolitan-housing-and-communities-policy-center/projects/denver-supportive-housing-social-impact-bond-initiative/what-we-learned-evaluation,Sector nonprofit/network,"Urban Institute Denver SIB - RESOLVED July 2026, see CL-472/473, 285 housed corrected from 365",no,,CL-472;CL-473,2,2026-07-batch-flagged
RES-0294,https://www.alleghenycounty.us/Human-Services,Not yet ingested (govt),Allegheny County DHS - Allegheny Family Screening Tool documentation,no,,,0,2026-07-batch-flagged
RES-0295,https://housingfirsteurope.eu/,Not yet ingested (nonprofit),Housing First Europe Hub / FEANTSA - Helsinki savings-figure reconciliation,no,,,0,2026-07-batch-flagged
RES-0296,https://ysaatio.fi/en/,Sector nonprofit/network,"Y-Foundation/Varke Finland - RESOLVED July 2026, see CL-462, 2025 homelessness increase confirmed",no,,CL-462,1,2026-07-batch-flagged
RES-0297,https://www.altusgroup.com/,Not yet ingested (industry),Altus Group - Toronto office vacancy/conversion cost data for Master Lease Strategy,no,,,0,2026-07-batch-flagged
RES-0298,https://www.canlii.org/,Government of Canada (primary govt),"canlii.org - RESOLVED July 2026, see CL-492",no,,CL-492,1,2026-07-batch-flagged
RES-0299,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/transparency,Not yet ingested (govt),CMHC Public Transparency Portal - National Housing Strategy Funding Dashboard,no,,,0,2026-07-batch-flagged
RES-0300,https://www.cbc.ca/news/canada/toronto/regent-park-hart-hub-drug-consumption-site-9.7163775,News (CBC),"CBC News Apr 17 2026 - Haydn Watters - Inside a HART Hub, Regent Park firsthand account, Phoenix Babiak quote confirmed",no,,CL-464,1,project-history
RES-0301,https://www.oagottawa.ca/news/posts/auditor-general-tables-supportive-housing-audit/,Government of Canada (primary govt),Ottawa Auditor General Supportive Housing Audit - confirmed June 2025 (not 2026 as originally flagged),no,,CL-465,1,2026-07-batch-flagged
RES-0302,https://rabble.ca/podcast/diana-chan-mcnally-bringing-community-work-to-torontos-city-council/,News (other outlet),rabble.ca podcast confirming Diana Chan McNally Ward 4 candidacy - already independently captured in DERIV-012,no,,CL-466,1,2026-07-batch-flagged
RES-0303,https://ccla.org/,Sector nonprofit/network,"ccla.org - RESOLVED July 2026, see CL-491",no,,CL-491,1,2026-07-batch-flagged
RES-0304,https://ysaatio.fi/en/homelessness-in-finland/,Sector nonprofit/network,"Y-Foundation/Varke Finland - RESOLVED July 2026, see CL-462, 2025 homelessness increase confirmed",no,,CL-462,1,2026-07-batch-flagged
RES-0309,https://www.cbc.ca/news/canada/toronto/toronto-drug-overdose-rise-9.7157942,News (CBC),"April 2026 Toronto drug surge, medetomidine adulterant - see CL-479",no,,CL-479;CL-592,2,project-history
RES-0310,https://drugchecking.community/drug-information/carfentanil-3/,Sector nonprofit/network,Toronto Drug Checking Service carfentanil contamination data - see CL-480,no,,CL-480,1,project-history
RES-0311,https://www.myhealthunit.ca/en/news/health-unit-extends-drug-alert-a-second-time-as-overdose-activity-exceeds-pandemic-levels.aspx,Government of Ontario (primary govt),North Bay Parry Sound Health Unit April 2026 - see CL-481,no,,CL-481,1,project-history
RES-0312,https://catalyst.nejm.org/doi/full/10.1056/CAT.22.0301,Academic (journal),"NEJM Catalyst Managed Alcohol Programs review, 30-50% AUD prevalence - see CL-482",no,,CL-482,1,project-history
RES-0313,https://www.uvic.ca/research/centres/cisur/projects/map/index.php,Academic (research centre),CMAPS/Seaton House MAP origin story - see CL-483,no,,CL-483,1,project-history
RES-0314,https://www.camh.ca/en/camh-news-and-stories/backgrounder-addressing-the-mental-health-and-addictions-crisis-in-toronto,Sector nonprofit/network,CAMH methamphetamine/stimulant crisis backgrounder - see CL-484,no,,CL-484,1,project-history
RES-0315,https://link.springer.com/article/10.1186/s12889-026-27460-8,Academic (journal),"Ali et al BMC Public Health 2026 - major gendered mortality study, see CL-476/477/478",no,,CL-476;CL-477;CL-478;CL-783,4,project-history
RES-0316,https://www.socialplanningtoronto.org/childpoverty2026,Sector nonprofit/network,SPT Child Poverty Report Card 2026 - see CL-485/486,no,,CL-485;CL-486,2,project-history
RES-0317,https://www.socialplanningtoronto.org/march_2026_newsletter,Sector nonprofit/network,SPT March 2026 newsletter - SCS deaths prevented figure - see CL-487,no,,CL-487,1,project-history
RES-0318,https://www.acto.ca/feed/,Sector nonprofit/network,ACTO Bill 60 specifics + Henley Crescent v Browne ruling - see CL-488/489,no,,CL-488;CL-489,2,project-history
RES-0319,https://www.wellesleyinstitute.com/ontario-2026-budget-our-submission-on-supportive-housing/,Sector nonprofit/network,"8-org coalition, 40000 supportive housing units ask - see CL-490",no,,CL-490,1,project-history
RES-0320,https://ccla.org/press-release/ccla-opposes-expansion-of-arrest-powers-to-transit-special-constables-under-public-substance-use-law/,Sector nonprofit/network,CCLA transit special constable opposition - see CL-491,no,,CL-491,1,project-history
RES-0321,https://www.canlii.org/en/on/laws/stat/so-2006-c-17/latest/so-2006-c-17.html,Government of Canada (primary govt),CanLII RTA + Slapsys v Abrams precedent - see CL-492,no,,CL-492,1,project-history
RES-0322,https://www.newswire.ca/news-releases/statement-an-important-milestone-that-affirms-the-human-rights-of-people-experiencing-homelessness-835876085.html,Government of Canada (primary govt),"Federal Housing Advocate/CHRC joint statement on Waterloo ruling - MAJOR finding, see CL-493",no,,CL-493,1,project-history
RES-0323,https://falconers.ca/wp-content/uploads/2026/05/Reg.-Mun.-of-Waterloo-v.-Named-Respondents-and-Persons-Unknown.FINAL_.Gibson-J.21-May-2026-V2.pdf,Government of Canada (primary govt),Primary Waterloo 2026 ONSC 2971 decision text - see CL-494/495/496,no,,CL-494;CL-495;CL-496,3,project-history
RES-0324,https://ilrtoday.ca/ontario-and-waterloo-region-appealing-court-decision-on-kitchener-encampment/,Government of Ontario (primary govt),"Ontario/Waterloo joint appeal announcement - CRITICAL caveat source, see CL-496",no,,CL-496,1,project-history
RES-0325,https://www.communityedition.ca/they-are-not-the-other-they-are-us-gibson-rules-on-100vic/,News (other outlet),Ford attacks judge over Waterloo ruling - see CL-497,no,,CL-497,1,project-history
RES-0326,https://www.sunshineliststats.com/ontario/employers/fred-victor-centre/,Government of Ontario (primary govt),Fred Victor 2025 Sunshine List full breakdown - see CL-498,no,,CL-498;CL-507,2,project-history
RES-0327,https://www.sunshineliststats.com/Salary/gordontanner/2025/9/cityoftoronto,Government of Ontario (primary govt),TSSS GM Gordon Tanner salary + City aggregate - see CL-499,no,,CL-499,1,project-history
RES-0328,https://www.sunshineliststats.com/Employer/9/2024/governingcouncilofthesalvationarmyincanada,Government of Ontario (primary govt),Salvation Army national Sunshine List scope caveat - see CL-500,no,,CL-500,1,project-history
RES-0330,https://www.sunshineliststats.com/ontario/employers/city-of-toronto/,Government of Ontario (primary govt),City of Toronto full top-15 executive breakdown - see CL-502,no,,CL-502,1,project-history
RES-0331,https://rocketreach.co/homes-first-profile_b5f7a7bbf42d2aaa,Commercial data aggregator,"Homes First 275-employee estimate, conflicts with ZoomInfo - see CL-503",no,,CL-503,1,project-history
RES-0332,https://www.ontariosunshinelist.com/employers/dixon-hall,Government of Ontario (primary govt),"Dixon Hall - JS-rendering mechanism confirmed, plus 10-year trend delivery with a discrepancy flagged - see CL-504, CL-517 through CL-520",no,,CL-504;CL-517;CL-518;CL-519;CL-520,5,project-history
RES-0333,https://www.ontario.ca/public-sector-salary-disclosure/2025/all-sectors-and-seconded-employees/,Government of Ontario (primary govt),"Second LLM extraction - Dixon Hall/YWCA/Woodgreen/Neighbourhood Group/Sistering confirmed, Homes First/Covenant House absence flagged - see CL-505 through CL-512",no,,CL-505;CL-506;CL-507;CL-508;CL-509;CL-510;CL-511;CL-512,8,project-history
RES-0334,https://www.charityintelligence.ca/charity-details/1093-loft-community-services,Sector nonprofit/network,LOFT Community Services financial profile - see CL-513,no,,CL-513,1,project-history
RES-0335,https://www.charityintelligence.ca/charity-details/632-good-shepherd-ministries,Sector nonprofit/network,Good Shepherd Ministries Toronto financial profile - see CL-514,no,,CL-514,1,project-history
RES-0336,https://www.charityintelligence.ca/charity-details/158-eva-s-initiatives,Sector nonprofit/network,Eva's Initiatives financial profile - see CL-515,no,,CL-515,1,project-history
RES-0337,https://www.nameres.org/,Sector nonprofit/network,Na-Me-Res/Sojourn House/Houselink & Mainstay scale context - see CL-516,no,,CL-516,1,project-history
RES-0338,https://www.charityintelligence.ca/charity-details/434-scott-mission,Sector nonprofit/network,Scott Mission financial profile - see CL-522,no,,CL-522,1,project-history
RES-0339,https://www.charitydata.ca/charity/margarets-housing-and-community-support-services-inc/118890391RR0001/,Sector nonprofit/network,"Margaret's confirmed real, no financial profile - see CL-523",no,,CL-523,1,project-history
RES-0340,https://homesfirst.on.ca/wp-content/uploads/2022/02/4__-_HFS_2018_Audited_Statements-1.pdf,Sector nonprofit/network,Homes First 2018 per-property financial breakdown - see CL-524,no,,CL-524,1,project-history
RES-0341,https://homesfirst.on.ca/wp-content/uploads/2022/02/HFS-2020-Audited-Financial-Statements.pdf,Sector nonprofit/network,"Homes First 2020 Schedule of Shelters - see CL-525, CL-526",no,,CL-525;CL-526,2,project-history
RES-0342,https://homesfirst.on.ca/reports/,Sector nonprofit/network,Homes First reports archive index - alternate registration number lead,no,,,0,project-history
RES-0343,https://dixonhall.org/wp-content/uploads/2021/09/Financial-Statements-Dixon-Hall-2020-Final-signed.pdf,Sector nonprofit/network,"Dixon Hall 2020 program-category breakdown - see CL-527, CL-528",no,,CL-527;CL-528,2,project-history
RES-0344,https://www.cfthhouston.org/2025-pit-results,Government of Ontario (primary govt),Houston PIT count correction - see CL-529,no,,CL-529,1,project-history
RES-0345,https://www.researchgate.net/publication/258699841_Risks_and_assets_for_homelessness_prevention_A_literature_review_for_the_Calgary_Homelessness_Foundation,Academic/peer-reviewed,Calgary cost figures correction - see CL-530,no,,CL-530,1,project-history
RES-0346,https://www.cbc.ca/news/canada/toronto/homeless-deaths-toronto-2021-1.6300513,News media,Documented Homes First shelter death - see CL-531,no,,CL-531;CL-551,2,project-history
RES-0348,https://dixonhall.org/housing-services/,Sector nonprofit/network,Dixon Hall subcontractor partnership - see CL-533,no,,CL-533,1,project-history
RES-0349,https://www.ohchr.org/en/special-procedures/sr-housing,Academic/peer-reviewed,UN Special Rapporteur claim confirmed - see CL-534,no,,CL-534,1,project-history
RES-0350,https://pmc.ncbi.nlm.nih.gov/articles/PMC10805133/,Academic/peer-reviewed,Kidd heat mortality figure unconfirmed - see CL-535,no,,CL-535,1,project-history
RES-0351,https://dixonhall.org/wp-content/uploads/2024/12/2024-Audited-Financial-Statements-as-at-March-31-2024.pdf,Sector nonprofit/network,Dixon Hall 2024 full statement precision - see CL-536 through CL-539,no,,CL-536;CL-537;CL-538;CL-539,4,project-history
RES-0352,https://www.slideshare.net/naehomelessness/per-diem-rates-for-purchase-of-service-shelters,Government of Ontario (primary govt),Per diem contract document type confirmed - see CL-540,no,,CL-540,1,project-history
RES-0353,https://www.toronto.ca/community-people/housing-shelter/building-affordable-homes/housingto-2020-2030-action-plan/,Government of Ontario (primary govt),Dixon Hall governance role confirmed - see CL-541,no,,CL-541,1,project-history
RES-0354,https://homelesshub.ca/wp-content/uploads/2023/12/a23yhosi.pdf,Government of Ontario (primary govt),"2010 per diem staff report, foundational HMK-038 source - see CL-542, CL-544",no,,CL-542;CL-544;CL-548;CL-549;CL-550;CL-553;CL-554;CL-555,8,project-history
RES-0355,https://www.toronto.ca/news/city-of-toronto-updates-on-shelter-system-pressures-and-calls-for-a-sustainable-fair-funding-model-to-support-people-experiencing-homelessness/,Government of Ontario (primary govt),Capacity growth confirmation - see CL-544,no,,CL-544;CL-594,2,project-history
RES-0356,https://www.blogto.com/city/2025/02/toronto-warming-centres-cost-city-more-fancy-hotel/,News media,AG warming centres correction confirmed - see CL-546,no,,CL-546;CL-567,2,project-history
RES-0357,https://www.toronto.ca/legdocs/mmis/2022/au/bgrd/backgroundfile-226299.pdf,Government of Ontario (primary govt),"AG hotel overpayment audit - major finding - see CL-565, CL-566",no,,CL-565;CL-566,2,project-history
RES-0359,https://www.missingmiddleinitiative.ca/p/ontarios-record-low-family-housing,News media,Housing starts ranking verification - see CL-569,no,,CL-569,1,project-history
RES-0361,https://rabble.ca/human-rights/experts-and-activists-warn-torontos-encampment-crackdown-masks-a-deeper-housing-crisis/,News media,New Toronto Initiative lawsuit - see CL-574,no,,CL-574,1,project-history
RES-0362,https://www.ontario.ca/laws/regulation/980134 + https://feedontario.ca/wp-content/uploads/2019/04/Feed-Ontario-Report-Social-Assistance-Changes-2019.pdf,Backfilled (auto),Ontario Regulation 134/98 (OW rate $733); Feed Ontario 2019 (1990 rate ~70%); On,no,,CL-081,1,backfill-2026-07
RES-0363,https://www.varke.fi/en/statistics/homelessness/homeless-people-2025,Backfilled (auto),Varke Finland Homeless people 2025 report and Y-Saatio official statements,no,,CL-462,1,backfill-2026-07
RES-0364,https://pmc.ncbi.nlm.nih.gov/articles/PMC3969120/,Backfilled (auto),Multiple peer-reviewed sources including PMC studies on Housing First fidelity a,no,,CL-463,1,backfill-2026-07
RES-0365,https://www.dianachanmcnally.ca/,Backfilled (auto),Official campaign site Wikipedia 2026 Toronto municipal election and City of Tor,no,,CL-466,1,backfill-2026-07
RES-0366,https://www.toronto.ca/community-people/housing-shelter/building-affordable-homes/housing-initiatives/coordinated-access-to-housing-supports/,Backfilled (auto),City of Toronto official Coordinated Access to Housing and Supports page,no,,CL-468,1,backfill-2026-07
RES-0367,https://www.cbc.ca/news/canada/toronto/encampments-toronto-declined-homelessness-9.7045950,Backfilled (auto),Global News and CBC News January 2026 reporting on City budget committee stateme,no,,CL-470,1,backfill-2026-07
RES-0368,https://www.urban.org/research/publication/denver-supportive-housing-social-impact-bond-initiative-final-outcome-payments,Backfilled (auto),Urban Institute Denver Supportive Housing Social Impact Bond Initiative Final Ou,no,,CL-472,1,backfill-2026-07
RES-0369,https://www.ices.on.ca/news-releases/surge-in-fatal-opioid-overdoses-in-ontario-shelters-report-finds/,Backfilled (auto),ICES news release summarizing the Ontario Drug Policy Research Network St Michae,no,,CL-475,1,backfill-2026-07
RES-0370,https://falconers.ca/superior-court-makes-new-ruling-clearing-the-encampment-violates-charter-rights/,Backfilled (auto),Falconers LLP primary decision analysis and multiple independent legal commentar,no,,CL-495;CL-497,2,backfill-2026-07
RES-0371,https://www.charitydata.ca/charity/fred-victor-centre/118931377RR0001/,Backfilled (auto),Direct research attempt across ZoomInfo SignalHire CRA T3010 guidance and organi,no,,CL-501,1,backfill-2026-07
RES-0372,https://www.sunshineliststats.com/Salary/neilhetherington/2018/9/dixonhall,Backfilled (auto),Multiple independent biographical sources plus direct Sunshine List record retri,no,,CL-518,1,backfill-2026-07
RES-0373,https://www.ontariosunshinelist.com/employers/fred-victor-centre/,Backfilled (auto),Second independent LLM extraction,no,,CL-520,1,backfill-2026-07
RES-0374,https://homelesshub.ca/blog/2020/cost-savings-associated-housing-first/,Backfilled (auto),Risks and Assets for Homelessness Prevention literature review for Calgary Homel,no,,CL-530,1,backfill-2026-07
RES-0375,https://www.bankofcanada.ca/rates/related/inflation-calculator/,Backfilled (auto),Calculated from CL-542 and the librarys existing verified 136 dollar 2023 figure,no,,CL-543,1,backfill-2026-07
RES-0376,https://www.cbc.ca/,Backfilled (auto),Externally-provided LLM research citing CBC The Fifth Estate and Toronto Sun rep,no,,CL-556,1,backfill-2026-07
RES-0377,https://www.change.org/,Backfilled (auto),Explicit source-chain identification from externally-provided research itself,no,,CL-557,1,backfill-2026-07
RES-0378,https://www.ontario.ca/,Backfilled (auto),Externally-provided LLM research referencing a known Ontario provincial policy e,no,,CL-558,1,backfill-2026-07
RES-0379,https://secure.toronto.ca/council/,Backfilled (auto),Campaign researcher direct primary research via City of Toronto council meeting ,no,,CL-564,1,backfill-2026-07
RES-0380,https://rabble.ca/columnists/toronto-shelter-spending-scandal-29-million-should-buy-more-than-hotdogs/,Backfilled (auto),Auditor General audit analysis via Cathy Crowe column cross-validated against pr,no,,CL-566,1,backfill-2026-07
RES-0381,https://vancouversun.com/news/local-news/vancouver-election-results-2022,Backfilled (auto),Two independent externally-provided research passes with matching specific figur,no,,CL-570,1,backfill-2026-07
RES-0382,https://abacusdata.ca/ontario-politics-abacus-october-2024/,Backfilled (auto),Unanimous convergent finding across eight independent externally-provided resear,no,,CL-571,1,backfill-2026-07
RES-0383,https://www.acto.ca/major-legal-victory-at-the-divisional-court-for-survivor-tenant/,Backfilled (auto),ACTO official case announcement direct primary source retrieval,no,,CL-575,1,backfill-2026-07
RES-0384,https://ccla.org/wp-content/uploads/2026/02/2026-02-25-CCLA-Submissions-on-Proposed-New-Regulation-RPCISA-to-Extend-Authorities-to-Transit-Special-Constables-.pdf,Backfilled (auto),CCLA official formal submission PDF and official press release direct primary so,no,,CL-576,1,backfill-2026-07
RES-0385,https://www.toronto.ca/news/toronto-city-council-ratifies-collective-agreement-with-cupe-local-79/,Backfilled (auto),City of Toronto official news release direct primary source retrieval,no,,CL-577,1,backfill-2026-07
RES-0386,https://www.health.gov.on.ca/en/public/publications/mental/mentalreform.aspx,Backfilled (auto),Ontario Ministry of Health and Long-Term Care official publication direct primar,no,,CL-578,1,backfill-2026-07
RES-0387,https://www.toronto.ca/legdocs/mmis/2025/bu/bgrd/backgroundfile-252530.pdf,Backfilled (auto),TCHC 2025 Budget Notes direct primary source retrieval,no,,CL-579;CL-583,2,backfill-2026-07
RES-0388,https://www.cbc.ca/news/canada/ottawa/city-ottawa-increase-homelessness-prevention-program-1.6852471,Backfilled (auto),CBC News direct primary source retrieval,no,,CL-580,1,backfill-2026-07
RES-0389,https://www.cbc.ca/news/canada/toronto/ontario-opens-nine-hart-hubs-1.7498827,Backfilled (auto),CBC News direct primary source retrieval,no,,CL-581,1,backfill-2026-07
RES-0390,https://torontohousing.ca/sites/default/files/2024-07/item_9a_-_bifac-2024-52_2023_facilities_condition_index_fci_report_with_attachment.pdf,Backfilled (auto),TCHC 2023 FCI Report and TCHC 2025 Budget Notes both direct primary source retri,no,,CL-584;CL-582,2,backfill-2026-07
RES-0391,https://www.ola.org/en/legislative-business/bills/parliament-44/session-1/bill-6,Backfilled (auto),Legislative Assembly of Ontario official bill page direct primary source retriev,no,,CL-586,1,backfill-2026-07
RES-0392,https://chronicle.durhamcollege.ca/2025/11/ontarios-homelessness-bill-fails-amid-growing-housing-crisis/,Backfilled (auto),The Chronicle Durham College direct primary press source retrieval,no,,CL-587,1,backfill-2026-07
RES-0393,https://www.cbc.ca/news/canada/toronto/budget-2025-ttc-outreach-workers-1.7451065,Backfilled (auto),CBC News direct primary press source retrieval,no,,CL-588,1,backfill-2026-07
RES-0394,https://www.cbc.ca/news/canada/toronto/toronto-library-crisis-services-1.7634871,Backfilled (auto),CBC News direct primary press source retrieval cross-checked against multiple sy,no,,CL-590,1,backfill-2026-07
RES-0395,https://www.canada.ca/en/immigration-refugees-citizenship/news/2026/03/new-immigration-and-asylum-measures-from-bill-c-12-the-strengthening-canadas-immigration-system-and-borders-act-have-become-law.html,Backfilled (auto),Canada.ca official government primary source retrieval CBC News direct primary p,no,,CL-591,1,backfill-2026-07
RES-0396,https://www.canada.ca/en/treasury-board-secretariat/services/federal-regulatory-management/guidelines-tools/policy-cost-benefit-analysis.html,Backfilled (auto),Treasury Board of Canada Secretariat and Association of Municipalities of Ontari,no,,CL-593,1,backfill-2026-07
RES-0397,https://homelesshub.ca/resource/risks-and-assets-homelessness-prevention-literature-review-calgary-homeless-foundation,Backfilled (auto),Homeless Hub direct primary source retrieval,no,,CL-595,1,backfill-2026-07
RES-0398,https://caeh.ca/london-solves-vet-homelessness/,Backfilled (auto),Canadian Alliance to End Homelessness direct primary source retrieval,no,,CL-596,1,backfill-2026-07
RES-0399,https://www.toronto.ca/wp-content/uploads/2024/05/98a4-MITM-Five-Year-Annual-Gathering-Summary-Report-2023AODA.pdf,Backfilled (auto),City of Toronto Meeting in the Middle Fifth Annual Gathering Summary Report dire,no,,CL-598,1,backfill-2026-07
RES-0400,https://www.toronto.ca/community-people/get-involved/public-consultations/aboriginal-affairs-advisory-committee-review/,Backfilled (auto),City of Toronto Aboriginal Affairs Advisory Committee Review direct primary sour,no,,CL-599,1,backfill-2026-07
RES-0401,https://housing-infrastructure.canada.ca/homelessness-sans-abri/reports-rapports/everyone-counts-2025-tout-monde-compte-eng.html,Backfilled (auto),Housing Infrastructure and Communities Canada official Everyone Counts 2025 repo,no,,CL-602,1,backfill-2026-07
RES-0402,https://tassc.ca/?page_id=34,Backfilled (auto),TASSC official page and peer-reviewed Our Health Counts Toronto study both direc,no,,CL-603,1,backfill-2026-07
RES-0403,http://blog.indigenouspolicy.org/index.php/ipj/article/view/723/689,Backfilled (auto),Indigenous Policy Journal and APTN News direct primary source retrieval,no,,CL-604,1,backfill-2026-07
RES-0404,https://bccla.org/2021/05/bill-c-15-implementing-undrip-what-should-this-mean-for-the-first-nations-inuit-and-the-metis-in-relationship-to-canada/,Backfilled (auto),BC Civil Liberties Association direct primary source retrieval,no,,CL-605,1,backfill-2026-07
RES-0405,https://housing-infrastructure.canada.ca/homelessness-sans-abri/reports-rapports/data-shelter-2024-donnees-refuge-eng.html,Backfilled (auto),Housing Infrastructure and Communities Canada direct primary source retrieval,no,,CL-607;CL-757,2,backfill-2026-07
RES-0406,https://www.scholaro.com/db/News/canadas-international-student-cap-2026-348,Backfilled (auto),Scholaro and immigration.ca reporting citing IRCC data direct primary source ret,no,,CL-608,1,backfill-2026-07
RES-0407,https://www.visaverge.com/news/canadas-pgwp-expiration-crisis-31610-graduates-at-risk-by-2025/,Backfilled (auto),VisaVerge citing The Financial Express and IRCC data direct primary source retri,no,,CL-609,1,backfill-2026-07
